Show Title,Theatre,Gross,Avg. Tix,SeatsSold,Prev.,RegularShows,TotalPerf.
PASSING STRANGE,BELASCO,5161374,53,97370,20,165,185
PASSION,PLYMOUTH,10680035,0,238899,52,280,332
PATTI LABELLE ON BROADWAY,ST. JAMES,989597,56,17835,0,12,12
PATTI LUPONE ON BROADWAY,WALTER KERR,1640359,0,39633,8,45,53
PAUL ROBESON,LONGACRE,420109,13,14327,7,25,32
PENN & TELLER ON BROADWAY,MARQUIS,7418335,117,64567,7,41,48
PENN AND TELLER,RITZ,2531878,0,94586,8,122,130
PETER AND THE STARCATCHER,BROOKS ATKINSON,17698854,68,255200,18,319,337
PETER PAN,GERSHWIN,10218898,41,247843,0,174,174
PETER PAN 1990-1991,MARQUIS,7901151,19,171397,8,133,141
PHILADELPHIA: HERE I COME,CRITERION,1181442,0,37123,25,52,77
PICNIC,CRITERION,3349762,28,81257,62,94,156
PIPPIN,MUSIC BOX,68840074,103,659865,37,709,746
PLAY ON!,BROOKS ATKINSON,1402692,23,61278,19,61,80
PLAZA SUITE,HUDSON,27426493,209,131963,35,102,137
PORGY AND BESS,RICHARD RODGERS,26381453,90,293984,28,293,321
"POTUS: OR, BEHIND EVERY GREAT DUMBASS ARE SEVEN WOMEN TRYING TO KEEP HIM AL",SHUBERT,4922650,68,72840,13,78,91
PRECIOUS SONS,LONGACRE,573384,0,34808,28,60,88
PRELUDE TO A KISS,AMERICAN AIRLINES,1786550,43,41211,23,61,84
PRELUDE TO A KISS 1990-1991,HELEN HAYES,5819573,0,194011,8,440,448
PRESENT LAUGHTER,AMERICAN AIRLINES,15484083,74,196609,51,170,221
PRESENT LAUGHTER 1996-1997,WALTER KERR,4334972,33,133335,28,175,203
PRETTY WOMAN: THE MUSICAL,NEDERLANDER,51134569,113,449208,27,420,447
PRIMO,MUSIC BOX,1952699,65,29520,4,35,39
PRINCE OF BROADWAY,FRIEDMAN,4171311,77,54277,23,76,99
PRISCILLA QUEEN OF THE DESERT,PALACE,48763901,79,616609,23,526,549
PRIVATE LIVES,MUSIC BOX,445166,72,6204,0,9,9
PRIVATE LIVES 1992,BROADHURST,934802,0,30266,11,37,48
PRIVATE LIVES 2002,RICHARD RODGERS,7083941,54,132104,9,127,136
PRIVATE LIVES 2011,MUSIC BOX,2328466,64,36814,12,44,56
PROMISES PROMISES,BROADWAY,42951936,91,475458,30,289,319
PROOF,WALTER KERR,32896994,51,634994,16,917,933
PROPOSALS,BROADHURST,2172196,43,51007,10,77,87
PRUNE DANISH,ROYALE,2080448,59,35323,14,39,53
PRYMATE,LONGACRE,111855,33,3303,22,5,27
PUTTING IT TOGETHER,ETHEL BARRYMORE,5371370,57,94783,22,101,123
PYGMALION,AMERICAN AIRLINES,3558323,53,66932,31,69,100
PYGMALION 1987,PLYMOUTH,2492885,0,82271,15,113,128
QED,VIVIAN BEAUMONT,2165492,46,47492,8,40,48
QUILTERS,LAWRENCE,105736,0,6669,5,24,29
RABBIT HOLE,BILTMORE,3203305,55,58154,23,77,100
RACE,BARRYMORE,14939910,74,197595,23,297,320
RACING DEMON,VIVIAN BEAUMONT,1160216,16,43851,8,56,64
RADIO GOLF,CORT,1825735,39,46200,17,64,81
RAGGEDY ANN,NEDERLANDER,156625,0,10962,15,5,20
RAGS,HELLINGER,587081,0,24641,18,4,22
RAGTIME,NEIL SIMON,6030275,65,92587,28,65,93
RAGTIME 1997-2000,FORD CENTER,79947694,56,1432872,27,834,861
RAIN: A TRIBUTE TO THE BEATLES ON BROADWAY,NEIL SIMON,18014434,66,260709,8,300,308
REASONS TO BE PRETTY,LYCEUM,1936204,44,43457,21,85,106
RECKLESS,BILTMORE,3004690,50,59677,24,77,101
RED,GOLDEN,6835696,76,87631,22,101,123
REDWOOD CURTAIN,BROOKS ATKINSON,571015,0,34484,11,40,51
REGINA SPEKTOR,LUNT-FONTANNE,743114,102,7319,0,5,5
RELATIVELY SPEAKING,BROOKS ATKINSON,10077527,79,126852,35,117,152
RENT,NEDERLANDER,274248128,54,5026616,16,5123,5139
REQUIEM FOR A HEAVYWEIGHT,MARTIN BECK,114973,0,7355,8,3,11
RING OF FIRE,BARRYMORE,2775120,56,50623,38,57,95
RING ROUND THE MOON,BELASCO,1282880,27,47453,31,66,97
RINK,MARTIN BECK,1695147,0,61030,0,72,72
RIVERDANCE,GERSHWIN,45553810,51,890766,13,605,618
ROCK 'N' ROLL,JACOBS,6767495,66,102787,16,123,139
ROCK OF AGES,BROOKS ATKINSON,128993202,89,1476471,22,2328,2350
ROCKTOPIA,BROADWAY,4419436,65,67437,8,40,48
ROCKY,WINTER GARDEN,19222100,82,235400,28,180,208
ROMANCE ROMANCE,HELEN HAYES,3221064,0,123774,13,297,310
ROMEO AND JULIET,RICHARD RODGERS,6208798,75,84914,27,93,120
ROSE,LYCEUM,1230595,30,40598,13,42,55
ROWAN ATKINSON AT THE ATKINSON,BROOKS ATKINSON,53303,0,2899,7,7,14
ROYAL SHAKESPEARE COMPANY - CYRANO AND MUCH ADO,GERSHWIN,4668586,0,181064,9,112,121
ROZA,ROYALE,559330,0,20266,20,12,32
RUBEN & CLAY'S FIRST ANNUAL CHRISTMAS CAROL FAMILY FUN PAGEANT SPECTACULAR ,IMPERIAL,566548,36,15813,6,24,30
RUMORS,ETHEL BARRYMORE,12880034,0,447611,8,535,543
RUN FOR YOUR WIFE,VIRGINIA,460213,0,31540,13,47,60
RUNNING ON EMPTY,RICHARD RODGERS,997676,90,11120,0,8,8
SACRILEGE,BELASCO,357454,0,15394,8,21,29
SAFE SEX,LYCEUM,255062,0,12920,21,9,30
SAINT JOAN,LYCEUM,2897635,29,75082,39,103,142
SALLY MARR AND HER ESCORTS,HELEN HAYES,679156,0,21088,27,50,77
SALOME,BARRYMORE,3702428,66,56181,18,40,58
SARAFINA,CORT,13504133,0,548087,11,597,608
SATURDAY NIGHT FEVER,MINSKOFF,37585638,55,680429,27,501,528
SAY GOODNIGHT GRACIE,HELEN HAYES,5874615,45,131349,27,364,391
SCANDALOUS,NEIL SIMON,1718924,44,42216,31,29,60
SCHOOL FOR SCANDAL,LYCEUM,267650,16,9949,7,33,40
SCHOOL OF ROCK,WINTER GARDEN,160145109,95,1668057,31,1309,1340
SEA WALL/A LIFE,HUDSON,6509397,97,69022,14,60,74
SEARCH AND DESTROY,CIRCLE,419612,0,28882,22,46,68
SEARCH FOR SIGNS,PLYMOUTH,11404463,0,421543,14,391,405
SEASCAPE,BOOTH,1526743,41,38021,27,55,82
SEMINAR,GOLDEN,9819692,72,132687,25,191,216
SENATOR JOE,NEIL SIMON,5661,0,470,3,0,3
SERIOUS MONEY,ROYALE,413435,0,18856,21,15,36
SEUSSICAL,RICHARD RODGERS,12927734,56,228686,34,198,232
SEVEN GUITARS,WALTER KERR,4341182,34,130145,13,188,201
SEX AND LONGING,CORT,1474936,23,65593,30,46,76
Sexaholix 2001-2002,ROYALE,5337342,49,109522,53,67,120
Sexaholix 2003,BROADWAY,990923,49,20224,0,28,28
SHADOW BOX,CIRCLE,636598,0,27956,19,49,68
SHADOWLANDS,BROOKS ATKINSON,2712597,0,124173,11,169,180
SHAKESPEARE FOR MY FATHER,HELEN HAYES,2667045,0,97148,8,266,274
SHATNER'S WORLD: WE JUST LIVE IN IT,MUSIC BOX,914006,67,13721,2,17,19
SHE LOVES ME,BROOKS ATKINSON,22460756,24,422778,73,486,559
SHENANDOAH,VIRGINIA,798610,0,32251,15,32,47
SHERLOCK'S LAST CASE,NEDERLANDER,2122057,0,83806,12,124,136
SHIMADA,BROADHURST,218103,0,11950,20,4,24
SHINING CITY,BILTMORE,3217082,55,57529,21,80,101
SHIRLEY VALENTINE,BOOTH,3918566,0,170791,8,324,332
SHOGUN: THE MUSICAL,MARQUIS,2913428,0,88687,18,72,90
SHOW BOAT,GERSHWIN,89171712,25,1585144,12,947,959
SHREK THE MUSICAL,BROADWAY,46361426,76,606280,37,441,478
"SHUFFLE ALONG, OR, THE MAKING OF THE MUSICAL SENSATION OF 1921 AND ALL THAT",MUSIC BOX,15174445,116,131619,38,100,138
SID CEASAR AND COMPANY,Golden,48958,0,2455,6,5,11
SIDE MAN,Golden,9808327,35,276876,27,517,544
SIDE SHOW,RICHARD RODGERS,9278312,50,188033,52,147,199
SIGHT UNSEEN,BILTMORE,2724614,54,50622,21,70,91
SIGNIFICANT OTHER,BOOTH,1707469,50,35075,18,61,79
SINGIN' IN THE RAIN,GERSHWIN,13303713,0,441579,38,367,405
SISTER ACT,BROADWAY,52509237,73,721574,28,561,589
SIX,BROOKS ATKINSON,50161374,147,341191,45,296,341
SIX DANCE LESSONS IN SIX WEEKS,BELASCO,716751,32,22321,26,30,56
SIX DEGREES OF SEPARATION,VIVIAN BEAUMONT,18983263,10,503721,32,548,580
SIXTEEN WOUNDED,WALTER KERR,509381,38,13482,28,12,40
SKELETON CREW,FRIEDMAN,1122880,38,28022,22,30,52
SKYLIGHT,ROYALE,14640395,78,191759,33,201,234
SLAVA'S SNOWSHOW,HELEN HAYES,5404274,82,66447,10,97,107
SLAVE PLAY,GOLDEN,10124246,68,142476,38,178,216
SLEIGHT OF HAND,CORT,309141,0,21844,31,9,40
SLY FOX,BARRYMORE,8121077,57,141591,22,173,195
SMILE,LUNT-FONTANNE,1605546,0,53631,11,48,59
SMOKEY JOE'S CAFE,VIRGINIA,88346877,40,1904856,25,2036,2061
SO LONG LONELY STREET,LAWRENCE,119659,0,11313,8,53,61
SOCIAL SECURITY,ETHEL BARRYMORE,7412113,0,282222,26,388,414
SOLITARY CONFINEMENT,NEDERLANDER,394967,0,29074,15,25,40
SOME AMERICANS ABROAD,VIVIAN BEAUMONT,480112,0,27761,6,55,61
SOMEONE WHO'LL WATCH OVER ME,BOOTH,3943981,0,133087,5,232,237
SOMETHING ROTTEN!,ST. JAMES,73500381,84,870214,32,708,740
SONDHEIM ON SONDHEIM,STUDIO 54,5352642,60,89781,37,76,113
SONG AND DANCE,ROYALE,13004714,0,395212,17,474,491
SOUL DOCTOR,CIRCLE IN THE SQUARE,1940459,39,51690,32,66,98
SOUL OF SHAOLIN,MARQUIS,1225360,41,30406,3,21,24
SOUTH PACIFIC,VIVIAN BEAUMONT,96518652,99,965647,37,996,1033
SOUVENIR,LYCEUM,945935,43,21953,14,68,82
SPAMALOT,SHUBERT,168067350,80,2075781,34,1575,1609
SPEED THE PLOW,BARRYMORE,8477093,73,114722,24,140,164
SPEED-THE-PLOW,ROYALE,5543129,0,236777,23,279,302
SPIDER-MAN TURN OFF THE DARK,FOXWOODS,212406040,101,2067661,182,1066,1248
SPOILS OF WAR,MUSIC BOX,640059,0,30209,14,36,50
SPONGEBOB SQUAREPANTS,PALACE,37315330,76,485793,29,327,356
SPRING AWAKENING,EUGENE O'NEILL,66623990,74,886425,51,994,1045
SPRINGSTEEN ON BROADWAY,WALTER KERR,113058952,506,223585,7,229,236
SQUONK,HELEN HAYES,466157,35,13579,24,32,56
STAND-UP TRAGEDY,CRITERION,74326,0,4258,12,13,25
STANLEY,CIRCLE,1197565,24,48320,18,77,95
STARDUST,BILTMORE,776361,0,52993,16,101,117
STARLIGHT EXPRESS,GERSHWIN,42622032,0,1153702,22,761,783
STARMITES,CRITERION,520358,0,23948,35,60,95
STATE FAIR,MUSIC BOX,2926843,40,73138,8,110,118
STEEL MAGNOLIAS,LYCEUM,4139622,57,72860,23,136,159
STEEL PIER,RICHARD RODGERS,5587523,47,120530,33,76,109
STEPPING OUT,Golden,1006542,0,46054,21,73,94
STICK FLY,CORT,4262543,53,80312,24,93,117
STONES IN HIS POCKETS,Golden,5141100,44,115757,11,198,209
STRAIGHT WHITE MEN,HAYES,3629411,81,44978,27,56,83
STRANGE INTERLUDE,NEDERLANDER,1602954,0,44844,7,63,70
STREET CORNER SYMPHONY,BROOKS ATKINSON,1090010,17,64792,25,79,104
SUMMER,LUNT-FONTANNE,31490520,97,321684,27,288,315
SUMMER AND SMOKE,CRITERION,1194418,33,36681,22,53,75
SUNDAY IN THE PARK WITH GEORGE,STUDIO 54,19000206,84,225866,43,210,253
SUNDAY IN THE PARK WITH GEORGE 1984-1985,BOOTH,13820056,0,405866,0,568,568
SUNSET BOULEVARD,MINSKOFF,107159659,42,1689005,24,1115,1139
SUPERIOR DONUTS,MUSIC BOX,4239113,58,74490,17,109,126
SWAN LAKE,NEIL SIMON,7027858,50,141151,11,124,135
SWEAT,STUDIO 54,4881458,70,70653,24,105,129
SWEENEY TODD,EUGENE O'NEILL,20856882,74,282403,11,349,360
SWEENEY TODD 1989-1990,CIRCLE,2447741,0,103111,47,188,235
SWEET CHARITY,AL HIRSCHFELD,34027372,27,744524,40,648,688
SWEET CHARITY 86-87,MINSKOFF,15373615,0,444510,15,369,384
SWEET SMELL OF SUCCESS,MARTIN BECK,7860322,66,119972,18,109,127
SWEET SUE,ROYALE,2466416,0,103903,16,164,180
SWING!,ST. JAMES,24623691,47,529583,43,461,504
SWINGING ON A STAR,MUSIC BOX,1772083,16,51442,19,96,115
SYLVIA,CORT,4453376,60,75926,27,79,106
TABOO,PLYMOUTH,4894998,71,70160,16,100,116
TAKE ME ALONG,MARTIN BECK,71190,0,4320,7,1,8
TAKE ME OUT,WALTER KERR,17233072,64,272345,58,434,492
TAKING SIDES,BROOKS ATKINSON,1723675,26,67592,15,85,100
TAKING STEPS,CIRCLE,852636,0,51389,22,78,100
TALK RADIO,LONGACRE,4489013,53,84405,29,121,150
TALLER THAN A DWARF,LONGACRE,2557061,39,65891,37,56,93
TANGO ARGENTINO,GERSHWIN,8561544,11,249818,8,262,270
TANGO PASION,LONGACRE,138027,0,5873,6,5,11
TARTUFFE,AMERICAN AIRLINES,2638852,43,61354,40,53,93
TARTUFFE 1997,CIRCLE,321371,19,17029,25,29,54
TARZAN,RICHARD RODGERS,42722858,73,580903,35,486,521
TEDDY AND ALICE,MINSKOFF,2156947,0,65251,11,77,88
THAT CHAMPIONSHIP SEASON,JACOBS,8443019,85,99407,28,97,125
THE 25TH ANNUAL PUTNAM COUNTY SPELLING BEE,CIRCLE,45625516,67,672139,21,1136,1157
THE 39 STEPS,AMERICAN AIRLINES,22104342,57,389835,31,763,794
THE ADDAMS FAMILY,LUNT-FONTANNE,86677092,92,920997,35,722,757
THE ADVENTURES OF TOM SAWYER,MINSKOFF,2211829,34,64852,34,21,55
THE AMERICAN PLAN,FRIEDMAN,2001797,51,38583,22,70,92
THE ANARCHIST,GOLDEN,1651411,73,22583,23,17,40
THE APPLE DOESN'T FALL,LYCEUM,98544,19,5256,19,1,20
THE APPLE TREE,STUDIO 54,4777523,54,87752,18,99,117
THE ASSEMBLED PARTIES,FRIEDMAN,5402056,65,82288,28,119,147
THE AUDIENCE,SCHOENFELD,22072987,151,146613,22,114,136
THE BAND'S VISIT,ETHEL BARRYMORE,67910865,110,612394,36,588,624
THE BEAUTY QUEEN OF LEENANE,WALTER KERR,12496388,44,281378,19,365,384
THE BEST LITTLE WHOREHOUSE GOES PUBLIC,LUNT-FONTANNE,756503,0,40023,28,16,44
THE BIG KNIFE,AMERICAN AIRLINES,2337664,51,45618,29,56,85
THE BIG LOVE,PLYMOUTH,519527,0,25658,11,41,52
THE BLONDE IN THE THUNDERBIRD,BROOKS ATKINSON,191165,14,15122,10,9,19
THE BLUE ROOM,CORT,4589721,45,101355,15,81,96
THE BOOK OF MORMON,EUGENE O'NEILL,694132759,158,4375926,28,4021,4049
THE BOY FROM OZ,IMPERIAL,42738338,81,524857,32,364,396
THE BOYS FROM SYRACUSE,AMERICAN AIRLINES,3286075,48,68115,29,73,102
THE BOYS IN THE BAND,BOOTH,14943570,160,93222,35,84,119
THE BRIDGES OF MADISON COUNTY,SCHOENFELD,6729931,67,101215,37,100,137
THE CAINE MUTINY COURT-MARTIAL,SCHOENFELD,945803,49,19409,27,17,44
THE CAPEMAN,MARQUIS,8038402,53,152983,59,68,127
THE CARETAKER,AMERICAN AIRLINES,2156333,45,48149,19,63,82
THE CEMETERY CLUB,BROOKS ATKINSON,363036,0,36367,10,56,66
THE CHAIRS,Golden,1830517,38,48303,10,74,84
THE CHER SHOW,NEIL SIMON,39260781,105,375095,34,295,329
THE CHERRY ORCHARD,MARTIN BECK,4699478,69,68736,36,69,105
THE CHILDREN,FRIEDMAN,2390093,57,41588,15,63,78
THE CIRCLE,AMBASSADOR,4075985,0,150710,8,208,216
THE CIVIL WAR,ST. JAMES,3524775,43,81971,35,61,96
THE COAST OF UTOPIA,VIVIAN BEAUMONT,10085758,72,139695,25,120,145
THE COAST OF UTOPIA [PART 1 - VOYAGE],VIVIAN BEAUMONT,1676577,59,30838,31,1,32
THE COLOR PURPLE,BROADWAY,148718479,83,1818873,63,1360,1423
THE COLUMNIST,FRIEDMAN,3505086,59,59702,23,86,109
THE COMEDY OF ERRORS,VIVIAN BEAUMONT,980176,0,59348,23,65,88
THE CONSTANT WIFE,AMERICAN AIRLINES,3365506,53,63263,23,77,100
THE COUNTRY GIRL,JACOBS,5949235,74,81577,25,97,122
THE COUNTRY HOUSE,FRIEDMAN,2383928,54,44110,26,61,87
THE CRIPPLE OF INISHMAAN,CORT,7845617,83,94219,9,105,114
THE CRUCIBLE,VIRGINIA,19344830,79,246671,51,226,277
THE CRUCILE 1991-1992,BELASCO,1185344,0,50154,23,31,54
THE CURIOUS INCIDENT OF THE DOG IN THE NIGHT-TIME,ETHEL BARRYMORE,68321435,94,712343,23,799,822
THE DEEP BLUE SEA,CRITERION,1379259,36,38764,29,61,90
THE DEVIL'S DISCIPLE,CIRCLE,897856,0,55502,27,113,140
THE DIARY OF ANNE FRANK,MUSIC BOX,6086337,38,156663,15,221,236
THE DINNER PARTY,MUSIC BOX,13974313,48,291757,20,364,384
THE DROWSY CHAPERONE,MARQUIS,63565088,72,865975,32,674,706
THE ELEPHANT MAN,ROYALE,16291917,112,136696,58,140,198
THE ENCOUNTER,GOLDEN,4370573,65,67056,11,117,128
THE FARNSWORTH INVENTION,MUSIC BOX,4512535,59,76700,34,104,138
THE FATHER,CRITERION,4739487,51,90104,55,130,185
THE FERRYMAN,JACOBS,29427550,108,270524,20,296,316
THE FLOWERING PEACH,LYCEUM,354805,0,16725,14,41,55
THE FLYING KARAMAZOV BROTHERS,HELEN HAYES,658808,0,19501,7,50,57
THE FROGS,VIVIAN BEAUMONT,7691480,66,117040,34,92,126
THE FRONT PAGE,VIVIAN BEAUMONT,23135177,81,237246,60,174,234
THE GATHERING,CORT,360983,32,11208,12,24,36
THE GERSHWINS' FASCINATING RHYTHM,LONGACRE,970692,37,26455,27,17,44
THE GIN GAME,LYCEUM,7775151,50,152435,42,237,279
THE GLASS MENAGERIE,BARRYMORE,25419579,67,337554,103,435,538
THE GLASS MENAGERIE REVIVAL 94-95,CRITERION,1302177,0,37380,19,57,76
THE GOAT OR WHO IS SYLVIA?,Golden,7932478,44,179887,23,309,332
THE GOOD BODY,BOOTH,843035,43,19837,27,40,67
THE GOODBYE GIRL,MARQUIS,11456076,0,264638,23,188,211
THE GOSPEL AT COLONUS,LUNT-FONTANNE,1166390,0,50165,15,61,76
THE GOVERNMENT INSPECTOR,LYCEUM,476817,0,20677,16,37,53
THE GRADUATE,PLYMOUTH,17834908,54,321840,24,380,404
THE GRAPES OF WRATH,CORT,5031529,0,158138,11,188,199
THE GREAT SOCIETY,VIVIAN BEAUMONT,4755412,73,65268,26,72,98
THE GREEN BIRD,CORT,1787997,50,37182,15,56,71
THE HEIDI CHRONICLES,PLYMOUTH,16413783,7,543543,35,675,710
THE HEIGHT OF THE STORM,FRIEDMAN,3161762,75,42281,15,72,87
THE HEIRESS,CORT,19273881,29,423708,60,457,517
THE HIGH ROLLERS SOCIAL AND PLEASURE CLUB,HELEN HAYES,110732,0,7243,19,13,32
THE HISTORY BOYS,BROADHURST,16986043,77,219895,13,185,198
THE HOMECOMING,CORT,4267706,56,75092,15,137,152
THE HOMECOMING 1991,CRITERION,635768,0,29202,23,49,72
THE HOUSE OF BLUE LEAVES,WALTER KERR,5707721,76,74693,21,72,93
THE HUMANS,HELEN HAYES,24441207,92,266108,28,365,393
THE ICEMAN COMETH,BROOKS ATKINSON,21685048,105,211696,38,169,207
THE ILLUSIONISTS - LIVE ON BROADWAY,NEIL SIMON,6785761,102,64713,0,64,64
THE ILLUSIONISTS - MAGIC OF THE HOLIDAYS,MARQUIS,14973669,104,137931,0,116,116
THE ILLUSIONISTS - TURN OF THE CENTURY,PALACE,5847010,81,68843,0,57,57
THE ILLUSIONISTS - WITNESS THE IMPOSSIBLE,MARQUIS,8157068,105,76365,9,45,54
THE IMPORTANCE OF BEING EARNEST,AMERICAN AIRLINES,8012925,65,122818,30,189,219
THE INHERITANCE,ETHEL BARRYMORE,10904126,92,117559,45,130,175
THE INVENTION OF LOVE,LYCEUM,3918862,37,104598,31,108,139
THE JUDAS KISS,BROADHURST,4629082,46,99964,6,103,109
THE KENTUCKY CYCLE,ROYALE,863562,0,28251,15,33,48
THE KING AND I,NEIL SIMON,104348686,77,1397860,66,1279,1345
The King and I1984-1985,BROADWAY,12556649,0,328128,16,191,207
THE LAST NIGHT OF BALLYHOO,HELEN HAYES,11548547,47,243216,24,556,580
THE LAST SHIP,NEIL SIMON,11156287,84,131411,29,105,134
THE LEHMAN TRILOGY,NEDERLANDER,13467763,136,100012,18,82,100
THE LIEUTENANT OF INISHMORE,LYCEUM,3808107,50,76621,16,142,158
THE LIFE,ETHEL BARRYMORE,18961995,49,384256,21,466,487
THE LIFESPAN OF A FACT,STUDIO 54,14409286,125,115552,32,101,133
THE LIGHT IN THE PIAZZA,VIVIAN BEAUMONT,28777131,68,420433,36,504,540
THE LIGHTNING THIEF,LONGACRE,5061724,61,79999,30,95,125
THE LION IN WINTER,CRITERION,2099821,41,51829,22,93,115
THE LION KING,NEW AMSTERDAM,1750224774,108,16230673,33,9623,9656
THE LITTLE DOG LAUGHED,CORT,3345956,49,68122,22,112,134
THE LITTLE FOXES,VIVIAN BEAUMONT,7973018,63,134141,49,144,193
THE LITTLE MERMAID,LUNT-FONTANNE,82993600,83,986179,50,685,735
THE LITTLE PRINCE,BROADWAY,1888591,61,34889,14,32,46
THE LONESOME WEST,LYCEUM,619334,31,20296,9,55,64
THE LOOK OF LOVE,BROOKS ATKINSON,2344600,40,59883,35,49,84
THE LYONS,CORT,2509091,45,57421,21,80,101
THE MAN WHO CAME TO DINNER,AMERICAN AIRLINES,3854225,49,79268,32,85,117
THE MAN WHO HAD ALL THE LUCK,AMERICAN AIRLINES,2610518,45,57457,15,70,85
THE MASTER BUILDER,BELASCO,786602,0,35635,11,44,55
THE MERCHANT OF VENICE,BROADHURST,15335104,133,115374,20,79,99
THE MERCHANT OF VENICE 1989-1990,46TH STREET,5444942,0,131041,19,84,103
THE MIKADO,VIRGINIA,490302,0,23368,3,37,40
THE MINUTES,CORT,5139210,86,60646,33,87,120
THE MIRACLE WORKER,CIRCLE IN THE SQUARE,1687067,47,36610,21,38,59
THE MISER,CIRCLE,970436,0,62373,23,93,116
THE MOLIERE COMEDIES,CRITERION,1487984,0,41638,26,61,87
THE MOST HAPPY FELLA,BOOTH,4754838,0,156146,23,229,252
THE MOTHERF**KER WITH THE HAT,SCHOENFELD,10451323,81,130240,28,112,140
THE MOUNTAINTOP,JACOBS,10864181,88,123293,24,117,141
THE MUSIC MAN,NEIL SIMON,128531126,110,1051890,68,864,932
THE MUSICAL COMEDY MURDERS,LONGACRE,1091537,0,66736,6,136,142
THE MYSTERY OF CHARLES DICKENS,BELASCO,253992,33,7526,7,20,27
THE MYSTERY OF EDWIN DROOD,STUDIO 54,7191342,58,122792,28,136,164
THE NANCE,LYCEUM,8563126,77,112339,28,136,164
THE NAP,FRIEDMAN,1819944,48,38426,25,53,78
THE NEW ONE,CORT,4007178,61,65512,18,81,99
THE NIGHT OF THE IGUANA,CRITERION,1540907,36,43376,18,69,87
The Night of the Iguana 1988,CIRCLE,568644,0,38378,11,81,92
THE NORMAL HEART,GOLDEN,4237705,61,67970,10,86,96
THE NORMAN CONQUESTS,CIRCLE IN THE SQUARE,4256181,56,75224,18,109,127
THE ODD COUPLE,BROOKS ATKINSON,28938436,97,296923,28,249,277
THE ODD COUPLE 1985-1986,BROADHURST,5556919,0,215658,9,295,304
THE OLD NEIGHBORHOOD,BOOTH,3820480,34,111014,11,197,208
THE OTHER PLACE,FRIEDMAN,2876466,57,49929,34,61,95
THE PAJAMA GAME,AMERICAN AIRLINES,8885204,75,120528,41,129,170
THE PARISIAN WOMAN,HUDSON,9771836,88,110665,25,116,141
THE PEE-WEE HERMAN SHOW,STEPHEN SONDHEIM,6296959,98,64173,18,62,80
THE PEOPLE IN THE PICTURE,STUDIO 54,2469422,44,56633,30,60,90
THE PERFORMERS,LONGACRE,737219,37,19860,24,6,30
THE PETITION,Golden,883085,0,48859,10,75,85
THE PHANTOM OF THE OPERA,MAJESTIC,1286016567,55,19655343,16,13651,13667
THE PHILANTHROPIST,AMERICAN AIRLINES,2463705,49,49691,19,73,92
THE PIANO LESSON,WALTER KERR,6396570,0,259106,8,328,336
THE PILLOWMAN,BOOTH,8946186,65,137521,23,185,208
THE PIRATE QUEEN,HILTON THEATRE,9054539,61,149476,32,85,117
THE PITMEN PAINTERS,FRIEDMAN,2330017,52,44965,18,78,96
THE PLAY THAT GOES WRONG,LYCEUM,34341708,68,500844,27,737,764
THE PLAY WHAT I WROTE,LYCEUM,2530951,40,63237,27,89,116
THE PLAY'S THE THING,CRITERION,969991,0,32156,26,45,71
THE PRESENT,ETHEL BARRYMORE,10880989,124,88013,22,81,103
THE PRICE,AMERICAN AIRLINES,7546779,102,73903,31,69,100
The Price 1992,CRITERION,715800,0,29398,25,46,71
The Price 1999-2000,ROYALE,3013098,34,90661,20,128,148
THE PRINCE OF CENTRAL PARK,BELASCO,128907,0,7738,19,4,23
THE PRODUCERS,ST. JAMES,288361724,78,3672795,33,2502,2535
THE PROM,LONGACRE,25012263,84,295187,23,309,332
THE RAINMAKER,BROOKS ATKINSON,3321242,38,88453,25,82,107
THE RASCALS: ONCE UPON A DREAM,RICHARD RODGERS,2245793,122,18432,1,14,15
THE REAL INSPECTOR HOUND,CRITERION,855076,0,32296,17,61,78
THE REAL THING,ETHEL BARRYMORE,19754682,26,481689,56,604,660
THE REALISTIC JONESES,LYCEUM,8209761,86,95429,27,105,132
THE RED SHOES,GERSHWIN,2568652,0,66477,51,5,56
THE REGARD OF FLIGHT,VIVIAN BEAUMONT,232287,0,13127,7,17,24
THE REHEARSAL,CRITERION,1147712,32,36206,25,55,80
THE RETREAT FROM MOSCOW,BOOTH,4496405,50,89666,24,147,171
THE RIDE DOWN MT. MORGAN,AMBASSADOR,3948515,40,99678,23,121,144
THE RISE AND FALL OF LITTLE VOICE,NEIL SIMON,193203,0,17936,19,9,28
THE RITZ,STUDIO 54,3438536,46,75147,30,69,99
THE RIVALS,VIVIAN BEAUMONT,2275152,49,46130,23,45,68
THE RIVER,CIRCLE IN THE SQUARE,10827016,135,80722,18,97,115
THE ROAD TO MECCA,AMERICAN AIRLINES,2082656,48,42360,34,56,90
THE ROCKY HORROR SHOW,CIRCLE,13431400,50,268017,30,437,467
THE ROSE TATTOO,CIRCLE,6442169,46,101305,37,136,173
THE ROYAL FAMILY,FRIEDMAN,2627586,49,53252,26,77,103
THE SCARLET PIMPERNEL,NEIL SIMON,40692704,44,924543,39,772,811
THE SCOTTSBORO BOYS,LYCEUM,2750411,52,52266,29,49,78
THE SEAFARER,BOOTH,4512348,57,76919,19,133,152
THE SEAGULL,WALTER KERR,6430741,75,85825,18,94,112
THE SEAGULL 1992-1993,LYCEUM,790509,0,33938,15,49,64
THE SEARCH FOR SIGNS OF INTELLIGENT LIFE IN THE UNIVERSE,BOOTH,5562894,48,114278,6,184,190
