Show Title,Theatre,Gross,Avg. Tix,SeatsSold,Prev.,RegularShows,TotalPerf.
AWAKE AND SING!,BELASCO,3384141,45,74205,27,80,107
AZNAVOUR,MARQUIS,1331285,54,24766,1,23,24
BABY,ETHEL BARRYMORE,453966,0,17214,0,32,32
BABY IT'S YOU!,BROADHURST,9111694,57,159952,33,148,181
BAND IN BERLIN,HELEN HAYES,383380,37,10438,19,17,36
BANDSTAND,JACOBS,13487288,83,162335,24,166,190
BARBARA COOK,AMBASSADOR,187402,0,8311,13,13,26
BARBARA COOK: MOSTLY SONDHEIM,VIVIAN BEAUMONT,1202305,43,28176,5,26,31
BARBARA COOK'S BROADWAY,VIVIAN BEAUMONT,438437,43,10298,5,7,12
BAREFOOT IN THE PARK,CORT,4501355,54,82769,26,109,135
BARRY MANILOW,LUNT-FONTANNE,3466049,161,21647,0,17,17
BARRYMORE,MUSIC BOX,6566575,38,174965,12,236,248
BE MORE CHILL,LYCEUM,14217792,93,151941,30,177,207
BEA ARTHUR ON BROADWAY,BOOTH,1715877,46,37143,23,65,88
BEAUTIFUL,STEPHEN SONDHEIM,270497162,117,2290224,60,2416,2476
BEAUTY AND THE BEAST,LUNT-FONTANNE,429158458,50,7609397,46,5461,5507
BEETLEJUICE,WINTER GARDEN,65329970,100,653265,27,461,488
BELLS ARE RINGING,PLYMOUTH,3527176,50,71017,36,68,104
BENEFACTORS,BROOKS ATKINSON,4572197,0,161517,12,217,229
BENGAL TIGER AT THE BAGDHAD ZOO,RICHARD RODGERS,7889821,82,97721,23,108,131
BERNHARDT/HAMLET,AMERICAN AIRLINES,3886235,71,54742,26,63,89
BETRAYAL,AMERICAN AIRLINES,32621468,98,305392,79,281,360
BIG,SHUBERT,9736877,42,229895,22,193,215
BIG DEAL,BROADWAY,2270309,0,65947,8,69,77
BIG FISH,NEIL SIMON,10858194,74,146730,34,98,132
BIG RIVER,AMERICAN AIRLINES,2802669,47,60161,28,67,95
BILL MAHER: VICTORY BEGINS AT HOME,VIRGINIA,533861,43,12034,8,16,24
BILLY ELLIOT: THE MUSICAL,IMPERIAL,183514398,102,1787108,40,1312,1352
BILOXI BLUES,NEIL SIMON,13751235,0,519664,12,524,536
BIRTHDAY CANDLES,AMERICAN AIRLINES,3058687,66,46870,25,57,82
BLACK AND BLUE,MINSKOFF,33601122,0,934331,32,829,861
BLACK COMEDY/WHITE LIARS,CRITERION,650934,0,26256,25,38,63
BLACK TO THE FUTURE,MARQUIS,905893,98,9178,0,6,6
BLACKBIRD,BELASCO,7855675,74,107039,37,108,145
BLAST!,BROADWAY,8169127,40,203655,13,180,193
BLITHE SPIRIT,SHUBERT,11603724,71,162121,20,145,165
BLITHE SPIRIT 1987,NEIL SIMON,3248399,0,115210,24,104,128
BLOOD BROTHERS,MUSIC BOX,20752831,0,555459,13,840,853
BLOOD KNOT,Golden,845464,0,47366,13,95,108
BLOODY BLOODY ANDREW JACKSON,JACOBS,5629559,61,91636,26,94,120
BOBBI BOLAND,CORT,100389,39,2570,7,0,7
BOEING-BOEING,LONGACRE,13951563,61,227265,17,279,296
BOMBAY DREAMS,BROADWAY,22437579,61,366843,30,284,314
BONNIE AND CLYDE,SCHOENFELD,3277347,59,56138,33,36,69
BORN YESTERDAY,CORT,2792677,49,58288,28,73,101
BORN YESTERDAY 1989,46TH STREET,3093950,0,125354,13,153,166
BOYS CHOIR OF HARLEM AND FRIENDS,RICHARD RODGERS,182631,0,7327,4,14,18
BOYS IN AUTUMN,CIRCLE,440271,0,27040,21,70,91
BOYS OF WINTER,BILTMORE,237741,0,11420,31,9,40
BREAKFAST AT TIFFANY'S,CORT,2475937,66,37872,17,38,55
BREAKING THE CODE,NEIL SIMON,4186299,0,164051,9,169,178
BRIDGE AND TUNNEL,HELEN HAYES,6135555,60,102454,16,213,229
BRIEF ENCOUNTER,STUDIO 54,5210372,55,94033,21,111,132
BRIGHT STAR,CORT,7474494,67,111483,30,109,139
BRIGHTON BEACH MEMOIRS,NEDERLANDER,539369,26,21631,25,9,34
BRIGHTON BEACH MEMOIRS 1984-1986,46TH STREET,11823976,0,605927,0,808,808
BRING IN DA NOISE BRING IN DA FUNK,AMBASSADOR,54448939,48,1118863,15,1135,1150
BRING IT ON THE MUSICAL,ST. JAMES,11410177,63,180680,21,171,192
BROADWAY,ROYALE,43747,0,3071,3,4,7
BROADWAY BOUND,BROADHURST,15991551,0,612247,12,756,768
BROKEN GLASS,BOOTH,1393461,0,49960,15,73,88
BRONX BOMBERS,CIRCLE IN THE SQUARE,1212059,44,29511,31,29,60
BROOKLYN,SCHOENFELD,10108600,51,196826,27,284,311
BROOKLYN BOY,BILTMORE,2135668,49,43367,23,62,85
BUDDY,SHUBERT,7085959,0,206332,15,225,240
BULLETS OVER BROADWAY,ST. JAMES,18176367,80,226497,33,156,189
BURIED CHILD,BROOKS ATKINSON,1361820,23,59056,14,72,86
BURN THE FLOOR,LONGACRE,9285678,63,145582,8,185,193
BURN THIS,PLYMOUTH,19923583,28,420185,40,539,579
BUS STOP,CIRCLE,650106,21,31842,21,29,50
BUTLEY,BOOTH,5424237,73,74286,21,94,115
BUTTONS ON BROADWAY,AMBASSADOR,364581,0,16924,3,33,36
BY JEEVES,HELEN HAYES,2090954,59,35902,15,73,88
BYE BYE BIRDIE,HENRY MILLER,11485459,75,152597,40,117,157
CABARET,STUDIO 54,160539464,70,2267052,72,2765,2837
CABARET 1987-1988,MINSKOFF,10220724,0,292878,18,261,279
CAFE CROWN,BROOKS ATKINSON,392105,0,28930,0,42,42
CAMELOT,GERSHWIN,3714457,0,75937,4,56,60
CANCIONES DE MI PADRE,MINSKOFF,635122,0,16880,0,17,17
CANDIDA,CRITERION,762375,0,28448,24,45,69
CANDIDE,GERSHWIN,5065916,34,146016,10,104,114
CARETAKER,CIRCLE,385496,0,24335,23,45,68
"CAROLINE, OR CHANGE",STUDIO 54,5607244,76,73523,17,85,102
CAROUSEL,VIVIAN BEAUMONT,46906773,38,648453,85,518,603
CARRIE,VIRGINIA,341396,0,17752,16,5,21
CASA VALENTINA,FRIEDMAN,3028464,56,54116,24,79,103
CAT ON A HOT TIN ROOF,BROADHURST,24264540,86,282403,61,209,270
CAT ON A HOT TIN ROOF 2003-2004,MUSIC BOX,8898242,71,124967,28,145,173
CATCH ME IF YOU CAN,NEIL SIMON,16863570,70,242671,32,166,198
